Attribute,Description,Value,Meaning
AGER_TYP,best-ager typology,-1,unknown
,,0,no classification possible
,,1,passive elderly
,,2,cultural elderly
,,3,experience-driven elderly
ALTERSKATEGORIE_GROB,age classification through prename analysis ,"-1, 0",unknown
,,1,< 30 years
,,2,30 - 45 years
,,3,46 - 60 years
,,4,> 60 years
,,9,uniformly distributed
ALTER_HH,main age within the household,0,unknown / no main age detectable
,,1,01.01.1895 bis 31.12.1899
,,2,01.01.1900 bis 31.12.1904
,,3,01.01.1905 bis 31.12.1909
,,4,01.01.1910 bis 31.12.1914
,,5,01.01.1915 bis 31.12.1919
,,6,01.01.1920 bis 31.12.1924
,,7,01.01.1925 bis 31.12.1929
,,8,01.01.1930 bis 31.12.1934
,,9,01.01.1935 bis 31.12.1939
,,10,01.01.1940 bis 31.12.1944
,,11,01.01.1945 bis 31.12.1949
,,12,01.01.1950 bis 31.12.1954
,,13,01.01.1955 bis 31.12.1959
,,14,01.01.1960 bis 31.12.1964
,,15,01.01.1965 bis 31.12.1969
,,16,01.01.1970 bis 31.12.1974
,,17,01.01.1975 bis 31.12.1979
,,18,01.01.1980 bis 31.12.1984
,,19,01.01.1985 bis 31.12.1989
,,20,01.01.1990 bis 31.12.1994
,,21,01.01.1995 bis 31.12.1999
ANREDE_KZ,gender,"-1, 0",unknown
,,1,male
,,2,female
ANZ_HAUSHALTE_AKTIV,number of households in the building,…,numeric value (typically coded from 1-10)
ANZ_HH_TITEL,number of academic title holder in building,…,numeric value (typically coded from 1-10)
ANZ_PERSONEN,number of adult persons in the household,…,numeric value (typically coded from 1-3)
ANZ_TITEL,number of professional title holder in household ,…,numeric value (typically coded from 1-10)
BALLRAUM,distance to next urban centre ,-1,unknown
,,1,till 10 km
,,2,10 - 20 km
,,3,20 - 30 km
,,4,30 - 40 km
,,5,40 - 50 km
,,6,50-100 km
,,7,more than 100 km 
BIP_FLAG,business-flag indicating companies in the building,-1,unknown
,,0,no company in the building
,,1,company in the building
